"名称","导演","主演","时间","地区","类型","评分","评分人数","简评"
"蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises / 蝙蝠侠前传3：黑暗骑士崛起 / 黑暗骑士：黎明升起(台)","克里斯托弗·诺兰 Christopher Nolan"," 克里斯蒂安·贝尔 Christ...","2012"," 美国 英国 "," 剧情 动作 科幻 犯罪 惊悚",8.8,683319,"诺兰就是保证。"
"幽灵公主 / もののけ姫 / 魔法公主(港 / 台)","宫崎骏 Hayao Miyazaki"," 松田洋治 Yôji Matsuda / 石田百合...","1997"," 日本 "," 动画 奇幻 冒险",8.9,497079,"人与自然的战争史诗。"
"天使爱美丽 / Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台) / 天使艾米莉","让-皮埃尔·热内 Jean-Pierre Jeunet"," 奥黛丽·塔图 Audrey Tau...","2001"," 法国 德国 "," 剧情 喜剧 爱情",8.7,926934,"法式小清新。"
"菊次郎的夏天 / 菊次郎の夏 / 菊次郎之夏 / Kikujirô no natsu","北野武 Takeshi Kitano"," 北野武 Takeshi Kitano / 关口雄介 Yus...","1999"," 日本 "," 剧情 喜剧",8.9,562267,"从没见过那么流氓的温柔，从没见过那么温柔的流氓。"
"小森林 夏秋篇 / リトル・フォレスト 夏・秋 / 小森食光 / 夏秋篇(台)","森淳一 Junichi Mori"," 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...","2014"," 日本 "," 剧情",9,405022,"那些静得只能听见呼吸的日子里，你明白孤独即生活。"
"超能陆战队 / Big Hero 6 / 大英雄联盟(港) / 大英雄天团(台)","唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams"," 斯科特...","2014"," 美国 "," 喜剧 动作 科幻 动画 冒险",8.7,957574,"Balalala~~~"
"阳光灿烂的日子 / In the Heat of the Sun","姜文 Wen Jiang"," 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao","1994"," 中国大陆 中国香港 "," 剧情 爱情",8.9,585211,"一场华丽的意淫。"
"爱在日落黄昏时 / Before Sunset / 日落巴黎(港) / 爱在日落巴黎时(台)","理查德·林克莱特 Richard Linklater"," 伊桑·霍克 Ethan Hawke ...","2004"," 美国 法国 "," 剧情 爱情",8.9,521718,"九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。"
"完美的世界 / A Perfect World / 强盗保镳","克林特·伊斯特伍德 Clint Eastwood"," 凯文·科斯特纳 Kevin Cos...","1993"," 美国 "," 剧情 犯罪",9.1,295307,"坏人的好总是比好人的好来得更感人。"
"无人知晓 / 誰も知らない / 谁知赤子心(港) / 无人知晓的夏日清晨(台)","是枝裕和 Hirokazu Koreeda"," 柳乐优弥 Yûya Yagira / 北浦爱...","2004"," 日本 "," 剧情",9.1,299381,"我的平常生活就是他人的幸福。"
"消失的爱人 / Gone Girl / 失踪的女孩 / 失踪女孩","大卫·芬奇 David Fincher"," 本·阿弗莱克 Ben Affleck / 罗莎蒙...","2014"," 美国 "," 剧情 犯罪 悬疑 惊悚",8.7,880782,"年度最佳date movie。"
"甜蜜蜜 / Comrades: Almost a Love Story","陈可辛 Peter Chan"," 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...","1996"," 中国香港 "," 剧情 爱情",8.9,505315,"相逢只要一瞬间，等待却像是一辈子。"
"借东西的小人阿莉埃蒂 / 借りぐらしのアリエッティ / 借物少女艾莉缇(台) / 借东西的小矮人亚莉亚蒂(港)","米林宏昌 Hiromasa Yonebayashi"," 志田未来 Mirai Shida / 神木...","2010"," 日本 "," 动画 奇幻 冒险",8.9,521088,"曾经的那段美好会沉淀为一辈子的记忆。"
"倩女幽魂 / 倩女幽魂(87版) / 倩女幽魂：妖魔道","程小东 Siu-Tung Ching"," 张国荣 Leslie Cheung / 王祖贤 Joey W...","1987"," 中国香港 "," 爱情 奇幻 武侠 古装",8.8,694938,"两张绝世的脸。"
"小森林 冬春篇 / リトル・フォレスト 冬・春 / 小森食光 / 冬春篇(台)","森淳一 Junichi Mori"," 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...","2015"," 日本 "," 剧情",9,360786,"尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。"
"侧耳倾听 / 耳をすませば / 心之谷(台) / 梦幻街少女(港)","近藤喜文 Yoshifumi Kondo"," 本名阳子 Youko Honna / 小林桂树 K...","1995"," 日本 "," 剧情 爱情 动画",8.9,436856,"少女情怀总是诗。"
"时空恋旅人 / About Time / 回到最爱的一天(港) / 真爱每一天(台)","理查德·柯蒂斯 Richard Curtis"," 多姆纳尔·格里森 Domhnall Gl...","2013"," 英国 "," 喜剧 爱情 奇幻",8.8,619164,"把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。"
"幸福终点站 / The Terminal / 机场客运站(港) / 航站情缘(台)","史蒂文·斯皮尔伯格 Steven Spielberg"," 汤姆·汉克斯 Tom Hanks...","2004"," 美国 "," 喜剧 剧情 爱情",8.8,534995,"有时候幸福需要等一等。"
"驯龙高手 / How to Train Your Dragon / 驯龙记(港)","迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders","...","2010"," 美国 "," 动画 奇幻 冒险",8.8,717778,"和谐的生活离不开摸头与被摸头。"
"萤火之森 / 蛍火の杜へ / 萤火之社 / Hotarubi no mori e","大森贵弘 Takahiro Omori"," 佐仓绫音 Ayane Sakura / 内山昂辉 K...","2011"," 日本 "," 剧情 爱情 动画 奇幻",8.9,503294,"触不到的恋人。"
"寄生虫 / 기생충 / 寄生上流(台) / 上流寄生族(港)","奉俊昊 Joon-ho Bong"," 宋康昊 Kang-ho Song / 李善均 Seon-gyun...","2019"," 韩国 "," 剧情",8.8,1299168,NA
"教父3 / The Godfather: Part III / 教父第三集 / 教父 III","弗朗西斯·福特·科波拉 Francis Ford Coppola"," 阿尔·帕西诺 A...","1990"," 美国 "," 剧情 犯罪",9,349580,"任何信念的力量，都无法改变命运。"
"怪兽电力公司 / Monsters, Inc. / 怪兽公司(港) / 怪物公司","彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman"," 约...","2001"," 美国 "," 儿童 喜剧 动画 奇幻 冒险",8.8,630397,"不要给它起名字，起了名字就有感情了。"
"一个叫欧维的男人决定去死 / En man som heter Ove / 明天别再来敲门(台) / 想死冇咁易(港)","汉内斯·赫尔姆 Hannes Holm"," 罗夫·拉斯加德 Rolf Lassgård...","2015"," 瑞典 "," 剧情",8.9,438561,"惠及一生的美丽。"
"未麻的部屋 / Perfect Blue / 蓝色恐惧(港 / 台)","今敏 Satoshi Kon"," 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...","1997"," 日本 "," 动画 奇幻 惊悚",9.1,305142,"好的剧本是，就算你猜到了结局也猜不到全部。"
"玛丽和马克思 / Mary and Max / 巧克力情缘(台) / 同是天涯寂寞客","亚当·艾略特 Adam Elliot"," 托妮·科莱特 Toni Collette / 菲利...","2009"," 澳大利亚 美国 "," 剧情 喜剧 动画",8.9,407345,"你是我最好的朋友，你是我唯一的朋友 。"
"玩具总动员3 / Toy Story 3 / 反斗奇兵3(港) / 玩具的故事3","李·昂克里奇 Lee Unkrich"," 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...","2010"," 美国 "," 喜剧 动画 奇幻 冒险",8.9,484750,"跨度十五年的欢乐与泪水。"
"傲慢与偏见 / Pride & Prejudice / 傲慢与偏见2005 / Pride And Prejudice","乔·怀特 Joe Wright"," 凯拉·奈特莉 Keira Knightley / 马修·...","2005"," 法国 英国 美国 "," 剧情 爱情",8.7,749554,"爱是摈弃傲慢与偏见之后的曙光。"
"神偷奶爸 / Despicable Me / 卑鄙的我 / 坏蛋奖门人(港)","皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud"," ...","2010"," 美国 法国 "," 喜剧 动画 冒险",8.6,903189,"Mr. I Don't Care其实也有Care的时候。"
"釜山行 / 부산행 / 尸杀列车(港) / 尸速列车(台)","延尚昊 Sang-ho Yeon"," 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...","2016"," 韩国 "," 动作 惊悚 灾难",8.6,1133870,"揭露人性的丧尸题材力作。"
"告白 / 自白 / 母亲","中岛哲也 Tetsuya Nakashima"," 松隆子 Takako Matsu / 冈田将生 ...","2010"," 日本 "," 剧情 悬疑",8.8,645107,"没有一人完全善，也没有一人完全恶。"
"大鱼 / Big Fish / 大鱼奇缘(港) / 大智若鱼(台)","蒂姆·波顿 Tim Burton"," 伊万·麦克格雷格 Ewan McGregor / 阿...","2003"," 美国 "," 剧情 家庭 奇幻 冒险",8.8,542581,"抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。"
"被解救的姜戈 / Django Unchained / 被解放的姜戈 / 决杀令(台)","昆汀·塔伦蒂诺 Quentin Tarantino"," 杰米·福克斯 Jamie Foxx /...","2012"," 美国 "," 剧情 动作 西部 冒险",8.8,576022,"热血沸腾，那个低俗、性感的无耻混蛋又来了。"
"哈利·波特与火焰杯 / Harry Potter and the Goblet of Fire / 哈利波特4：火杯的考验(港 / 台)","迈克·内威尔 Mike Newell"," 丹尼尔·雷德克里夫 Daniel Radclif...","2005"," 英国 美国 "," 悬疑 奇幻 冒险",8.8,607303,NA
"新世界 / 신세계 / 暗黑新世界(台) / New World","朴勋政 Hoon-jung Park"," 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...","2013"," 韩国 "," 剧情 犯罪",8.9,392079,"要做就做得狠一点，这样才能活下去。"
"射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就 / 大英雄 (日本)","刘镇伟 Jeffrey Lau"," 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...","1993"," 中国香港 "," 喜剧 奇幻 武侠 古装",8.7,601997,"百看不厌。"
"阳光姐妹淘 / 써니 / 阳光姊妹淘(港) / 桑尼","姜炯哲 Hyeong-Cheol Kang"," 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...","2011"," 韩国 "," 剧情 喜剧",8.8,570270,"再多各自牛逼的时光，也比不上一起傻逼的岁月。"
"哪吒闹海 / Prince Nezha's Triumph Against Dragon King / Nezha Conquers the Dragon King","王树忱 Shuchen Wang / 严定宪 Dingxian Yan"," 梁正晖 Zhenghui ...","1979"," 中国大陆 "," 冒险 动画 奇幻",9.2,243329,"想你时你在闹海。"
"我是山姆 / I Am Sam / 不一样的爸爸(港) / 他不笨，他是我爸爸(台)","杰茜·尼尔森 Jessie Nelson"," Sean Penn / Dakota Fanning / Mi...","2001"," 美国 "," 剧情 家庭",9,319602,"爱并不需要智商 。"
"恐怖直播 / 더 테러 라이브 / 死亡“动”新闻(港) / 恐怖攻击直播(台)","金秉祐 Byeong-woo Kim"," 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...","2013"," 韩国 "," 剧情 犯罪 悬疑",8.7,619495,"恐怖分子的“秋菊打官司”。"
"头号玩家 / Ready Player One / 玩家一号 / 挑战者1号(港)","史蒂文·斯皮尔伯格 Steven Spielberg"," 泰伊·谢里丹 Tye Sheri...","2018"," 美国 "," 动作 科幻 冒险",8.7,1298856,"写给影迷，动漫迷和游戏迷的一封情书。"
"模仿游戏 / The Imitation Game / 解码游戏(港) / 模拟游戏","莫滕·泰杜姆 Morten Tyldum"," 本尼迪克特·康伯巴奇 Benedict C...","2014"," 英国 美国 "," 剧情 传记 战争 同性",8.8,610875,"他给机器起名“克里斯托弗”，因为这是他初恋的名字。"
"血战钢锯岭 / Hacksaw Ridge / 钢锯岭 / 钢铁英雄(台)","梅尔·吉布森 Mel Gibson"," 安德鲁·加菲尔德 Andrew Garfield /...","2016"," 澳大利亚 美国 "," 剧情 传记 历史 战争",8.7,749176,"优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。"
"喜宴 / 囍宴 / The Wedding Banquet","李安 Ang Lee"," 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...","1993"," 中国台湾 美国 "," 剧情 喜剧 爱情 同性 家庭",9,336069,"中国家庭的喜怒哀乐忍。"
"七武士 / 七人の侍 / 七侠四义(港) / 七剑客(港)","黑泽明 Akira Kurosawa"," 三船敏郎 Toshirô Mifune / 志村乔 ...","1954"," 日本 "," 动作 冒险 剧情",9.3,185730,"时代悲歌。"
"花样年华 / 花樣年華 / In the Mood for Love","王家卫 Kar Wai Wong"," 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...","2000"," 中国香港 "," 剧情 爱情",8.7,566762,"偷情本没有这样美。"
"头脑特工队 / Inside Out / 玩转脑朋友(港) / 脑筋急转弯(台)",NA,NA,"2015"," 美国 "," 喜剧 动画 冒险",8.8,573995,"愿我们都不用长大，每一座城堡都能永远存在。"
"九品芝麻官 / 九品芝麻官之白面包青天 / Hail the Judge","王晶 Jing Wong"," 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...","1994"," 中国香港 中国大陆 "," 剧情 喜剧 古装",8.7,626218,NA
"黑客帝国3：矩阵革命 / The Matrix Revolutions / 22世纪杀人网络3：惊变世纪(港) / 骇客任务完结篇：最后战役(台)",NA,NA,"2003"," 美国 "," 动作 科幻",8.8,425390,"不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。"
"电锯惊魂 / Saw / 恐惧斗室(港) / 夺魂锯(台)","詹姆斯·温 James Wan"," 雷·沃纳尔 Leigh Whannell / 加利·艾...","2004"," 美国 "," 悬疑 惊悚 恐怖",8.8,501721,"真相就在眼前。"
"三块广告牌 / Three Billboards Outside Ebbing, Missouri / 广告牌杀人事件(港) / 意外(台)","马丁·麦克唐纳 Martin McDonagh"," 弗兰西斯·麦克多蒙德 France...","2017"," 美国 英国 "," 剧情 犯罪",8.7,781509,"怼天怼地，你走后，她与世界为敌。"
"惊魂记 / Psycho / 精神病患者 / 触目惊心(港)","阿尔弗雷德·希区柯克 Alfred Hitchcock"," 安东尼·博金斯 Antho...","1960"," 美国 "," 悬疑 惊悚 恐怖",9,268471,"故事的反转与反转，分裂电影的始祖。"
"你的名字。 / 君の名は。 / 你的名字 / 君之名","新海诚 Makoto Shinkai"," 神木隆之介 Ryûnosuke Kamiki / 上...","2016"," 日本 "," 剧情 爱情 动画",8.5,1315958,"穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。"
"达拉斯买家俱乐部 / Dallas Buyers Club / 续命枭雄(港) / 药命俱乐部(台)","让-马克·瓦雷 Jean-Marc Vallée"," 马修·麦康纳 Matthew McCon...","2013"," 美国 "," 剧情 传记 同性",8.8,430843,"Jared Leto的腿比女人还美！"
"卢旺达饭店 / Hotel Rwanda / 卢安达饭店(台)","特瑞·乔治 Terry George"," 唐·钱德尔 Don Cheadle / 苏菲·奥...","2004"," 英国 南非 意大利 美国 "," 剧情 传记 历史 战争",8.9,310964,"当这个世界闭上双眼，他却敞开了怀抱。"
"疯狂原始人 / The Croods / 古鲁家族(港 / 台)","科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders",NA,"2013"," 美国 "," 喜剧 动画 冒险",8.7,799849,"老少皆宜，这就是好莱坞动画的魅力。"
"上帝之城 / Cidade de Deus / 无主之城 (港) / 无法无天 (台)",NA,NA,"2002"," 巴西 法国 "," 犯罪 剧情",9,287807,"被上帝抛弃了的上帝之城。"
"心迷宫 / 殡棺 / The Coffin in the Mountain","忻钰坤 Yukun Xin"," 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...","2014"," 中国大陆 "," 剧情 犯罪 悬疑",8.7,488713,"荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。"
"谍影重重3 / The Bourne Ultimatum / 叛谍追击3：最后通牒(港) / 神鬼认证：最后通牒 (台)","保罗·格林格拉斯 Paul Greengrass"," 马特·达蒙 Matt Damon / ...","2007"," 美国 德国 "," 动作 悬疑 惊悚",8.8,397748,"像吃了苏打饼一样干脆的电影。"
"色，戒 / 色|戒 / 色·戒","李安 Ang Lee"," 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...","2007"," 中国台湾 中国大陆 美国 中国香港 "," 剧情 爱情 情色",8.6,732117,"假戏真情，爱欲深海"
"英雄本色 / A Better Tomorrow / Gangland Boss","吴宇森 John Woo"," 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...","1986"," 中国香港 "," 剧情 动作 犯罪",8.6,505584,"英雄泪短，兄弟情长。"
"风之谷 / 風の谷のナウシカ / 风谷少女 / Kaze no tani no Naushika","宫崎骏 Hayao Miyazaki"," 岛本须美 Sumi Shimamoto / 松田洋治 Y...","1984"," 日本 "," 动画 奇幻 冒险",8.9,339543,"动画片的圣经。"
"纵横四海 / 緃横四海 / Once a Thief","吴宇森 John Woo"," 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...","1991"," 中国香港 "," 剧情 喜剧 动作 犯罪",8.8,398257,"香港浪漫主义警匪动作片的巅峰之作。"
"茶馆 / The Teahouse","谢添 Tian Xie"," 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...","1982"," 中国大陆 "," 剧情 历史",9.5,120715,NA
"海街日记 / 海街diary / 海街女孩日记(港) / Kamakura Diary","是枝裕和 Hirokazu Koreeda"," 绫濑遥 Haruka Ayase / 长泽雅美 M...","2015"," 日本 "," 剧情 家庭",8.8,420661,"是枝裕和的家庭习作。"
"记忆碎片 / Memento / 凶心人(港) / 记忆拼图(台)","克里斯托弗·诺兰 Christopher Nolan"," 盖·皮尔斯 Guy Pearce /...","2000"," 美国 "," 犯罪 剧情 悬疑 惊悚",8.7,573616,"一个针管引发的血案。"
"岁月神偷 / 歲月神偷 / 1969太空漫游 / Echoes Of The Rainbow","罗启锐 Alex Law"," 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...","2010"," 中国香港 中国大陆 "," 剧情 家庭",8.7,555297,"岁月流逝，来日可追。"
"爱在午夜降临前 / Before Midnight / 情约半生(港) / 爱在午夜希腊时(台)","理查德·林克莱特 Richard Linklater"," 伊桑·霍克 Ethan Hawke ...","2013"," 美国 希腊 "," 剧情 爱情",8.9,370926,"所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。"
"绿里奇迹 / The Green Mile / 绿色奇迹(台) / 绿色英里","弗兰克·德拉邦特 Frank Darabont"," 汤姆·汉克斯 Tom Hanks / ...","1999"," 美国 "," 犯罪 剧情 奇幻 悬疑",8.9,306894,"天使暂时离开。"
"忠犬八公物语 / ハチ公物語 / 八千公物语 / 阿八的故事","Seijirô Kôyama"," 山本圭 Kei Yamamoto / 井川比佐志 Hisa...","1987"," 日本 "," 剧情",9.2,183261,"养狗三日，便会对你终其一生。"
"荒蛮故事 / Relatos salvajes / 蛮荒故事 / 生命中最抓狂的小事(台)","达米安·斯兹弗隆 Damián Szifron"," 达里奥·葛兰帝内提 Darío...","2014"," 阿根廷 西班牙 "," 剧情 喜剧 犯罪",8.8,418836,"始于荒诞，止于更荒诞。"
"爆裂鼓手 / Whiplash / 鼓动真我(港) / 进击的鼓手(台)","达米恩·查泽雷 Damien Chazelle"," 迈尔斯·特勒 Miles Teller /...","2014"," 美国 "," 剧情 音乐",8.7,552697,"这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。"
"小偷家族 / 万引き家族 / Shoplifters / Une Affaire de Famille","是枝裕和 Hirokazu Koreeda"," 中川雅也 Lily Franky / 安藤樱 Sa...","2018"," 日本 "," 剧情 犯罪 家庭",8.7,777716,"我们组成了家。"
"疯狂的石头 / Crazy Stone","宁浩 Hao Ning"," 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin","2006"," 中国大陆 中国香港 "," 喜剧 犯罪",8.6,774628,"中国版《两杆大烟枪》。"
"无敌破坏王 / Wreck-It Ralph / 破坏王拉尔夫 / 破坏王大冒险","瑞奇·莫尔 Rich Moore"," 约翰·C·赖利 John C. Reilly / 萨拉...","2012"," 美国 "," 喜剧 动画 奇幻 冒险",8.7,507525,"迪士尼和皮克斯拿错剧本的产物。"
"贫民窟的百万富翁 / Slumdog Millionaire / 一百万零一夜(港) / 贫民百万富翁(台)","丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan"," 戴夫...","2008"," 英国 "," 剧情 爱情",8.6,714410,"上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁"
"雨中曲 / Singin' in the Rain / 万花嬉春(港 / 台)","斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly"," 吉恩·...","1952"," 美国 "," 喜剧 歌舞 爱情",9.1,207463,"骨灰级歌舞片。"
"东邪西毒 / 東邪西毒 / Ashes of Time","王家卫 Kar Wai Wong"," 张国荣 Leslie Cheung / 林青霞 Brigitte...","1994"," 中国香港 中国台湾 "," 剧情 动作 爱情 武侠 古装",8.6,549015,"电影诗。"
"冰川时代 / Ice Age / 冰河世纪 / 冰原历险记","卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge",NA,"2002"," 美国 "," 喜剧 动画 冒险",8.6,582509,"松鼠才是角儿。"
"真爱至上 / Love Actually / 真的恋爱了(港) / 爱是您，爱是我(台)","理查德·柯蒂斯 Richard Curtis"," 休·格兰特 Hugh Grant / 柯林...","2003"," 英国 美国 法国 "," 喜剧 剧情 爱情",8.6,690342,"爱，是个动词。"
"恐怖游轮 / Triangle / 汪洋血迷宮(台) / 轮回三角","克里斯托弗·史密斯 Christopher Smith"," 梅利莎·乔治 Melissa ...","2009"," 英国 澳大利亚 "," 剧情 悬疑 惊悚",8.5,803666,"不要企图在重复中寻找已经失去的爱。"
"2001太空漫游 / 2001: A Space Odyssey / 2001：星际漫游 / 2001：太空奥德赛","斯坦利·库布里克 Stanley Kubrick"," 凯尔·杜拉 Keir Dullea / ...","1968"," 英国 美国 "," 科幻 惊悚 冒险",8.9,298683,"现代科幻电影的开山之作，最伟大导演的最伟大影片。"
"你看起来好像很好吃 / おまえうまそうだな / 你看起来很好吃(台) / 你看上去好像很好吃","藤森雅也 Masaya Fujimori"," 山口胜平 Kappei Yamaguchi / 爱河...","2010"," 日本 "," 剧情 动画 儿童",8.9,316818,"感情不分食草或者食肉。"
"黑天鹅 / Black Swan / 夺命黑天鹅 / 霸王别鹅(豆友译名)","达伦·阿罗诺夫斯基 Darren Aronofsky"," 娜塔莉·波特曼 Natalie...","2010"," 美国 "," 剧情 惊悚",8.6,752624,"黑暗之美。"
"无间道2 / 無間道II / 无间道前传 / Infernal Affairs II","刘伟强 / 麦兆辉"," 陈冠希 / 余文乐 / 曾志伟","2003"," 中国香港 "," 剧情 犯罪 惊悚",8.7,441383,NA
"背靠背，脸对脸 / 背对背，脸对脸 / Back to Back, Face to Face","黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang"," 牛振华 Zhenhua N...","1994"," 中国大陆 中国香港 "," 剧情",9.5,115621,NA
"魔女宅急便 / 魔女の宅急便 / 魔女琪琪(台) / 小魔女限时专送","宫崎骏 Hayao Miyazaki"," 高山南 Minami Takayama / 佐久间玲 Re...","1989"," 日本 "," 动画 奇幻 冒险",8.7,433074,"宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。"
"小丑 / Joker / 小丑起源电影：罗密欧 / Romeo","托德·菲利普斯 Todd Phillips"," 杰昆·菲尼克斯 Joaquin Phoeni...","2019"," 美国 加拿大 "," 剧情 犯罪 惊悚",8.7,952630,NA
"牯岭街少年杀人事件 / 牯嶺街少年殺人事件 / A Brighter Summer Day","杨德昌 Edward Yang"," 张震 Chen Chang / 杨静怡 Lisa Yang / 张...","1991"," 中国台湾 "," 剧情 犯罪",8.9,275310,"弱者送给弱者的一刀。"
"遗愿清单 / The Bucket List / 玩转身前事(港) / 一路玩到挂(台)","罗伯·莱纳 Rob Reiner"," 杰克·尼科尔森 Jack Nicholson / 摩根...","2007"," 美国 "," 冒险 喜剧 剧情",8.7,423213,"用剩余不多的时间，去燃烧整个生命。"
"大佛普拉斯 / The Great Buddha+","黄信尧 Hsin-yao Huang"," 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...","2017"," 中国台湾 "," 剧情 喜剧",8.7,422478,"人们可以登上月球，却永远无法探索人们内心的宇宙。"
"雨人 / Rain Man / 手足情未了(港) / 手足情深","巴瑞·莱文森 Barry Levinson"," 达斯汀·霍夫曼 Dustin Hoffman ...","1988"," 美国 "," 剧情",8.7,385350,"生活在自己的世界里，也可以让周围的人显得可笑和渺小。"
"可可西里 / Kekexili: Mountain Patrol","陆川 Chuan Lu"," 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...","2004"," 中国大陆 中国香港 "," 剧情 犯罪",8.9,286580,"坚硬的信仰。"
"恋恋笔记本 / The Notebook / 忘了·忘不了(港) / 手札情缘(台)","尼克·卡索维茨 Nick Cassavetes"," 瑞恩·高斯林 Ryan Gosling /...","2004"," 美国 "," 剧情 爱情",8.6,635067,"爱情没有那么多借口，如果不能圆满，只能说明爱的不够。"
"城市之光 / City Lights / City Lights: A Comedy Romance in Pantomime / Lichter der Großstadt","Charles Chaplin"," 查理·卓别林 Charles Chaplin / 弗吉尼亚·...","1931"," 美国 "," 喜剧 剧情 爱情",9.3,135978,"永远的小人物，伟大的卓别林。"
"东京教父 / 東京ゴッドファーザーズ / Tokyo Godfathers","今敏 Satoshi Kon"," 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...","2003"," 日本 "," 剧情 喜剧 动画",9,204428,NA
"源代码 / Source Code / 启动原始码(台) / 危机解密(港)","邓肯·琼斯 Duncan Jones"," 杰克·吉伦哈尔 Jake Gyllenhaal / ...","2011"," 美国 加拿大 "," 科幻 悬疑 惊悚",8.5,795658,"邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。"
"初恋这件小事 / สิ่งเล็กเล็กที่เรียกว่า...รัก / 初恋那件小事(港) / 暗恋那点小事",NA,NA,"2010"," 泰国 "," 剧情 喜剧 爱情",8.5,943943,"黑小鸭速效美白记。"
"人工智能 / Artificial Intelligence: AI / AI人工智慧","史蒂文·斯皮尔伯格 Steven Spielberg"," 海利·乔·奥斯蒙 Haley...","2001"," 美国 英国 "," 剧情 科幻",8.7,421155,"对爱的执着，可以超越一切。"
"虎口脱险 / La grande vadrouille / 横冲直撞出重围(港) / 大進擊(台)","杰拉尔·乌里 Gérard Oury"," 路易·德·菲耐斯 Louis de Funès...","1966"," 法国 英国 "," 喜剧 战争",8.9,240532,"永远看不腻的喜剧。"
"萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港) / 萤火挽歌","高畑勋 Isao Takahata"," 辰己努 / 白石绫乃 / 志乃原良子","1988"," 日本 "," 动画 剧情 战争",8.7,389995,"幸福是生生不息，却难以触及的远。"
"心灵奇旅 / Soul / 灵魂奇遇记(港) / 灵魂急转弯(台)","彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers"," 杰米·...","2020"," 美国 "," 动画 奇幻 音乐",8.7,909075,NA
"海边的曼彻斯特 / Manchester by the Sea / 情系海边之城(港)","肯尼斯·罗纳根 Kenneth Lonergan"," 卡西·阿弗莱克 Casey Affle...","2016"," 美国 "," 剧情 家庭",8.6,487452,"我们都有权利不与自己的过去和解。"
"罗生门 / 羅生門 / Rashomon","黑泽明 Akira Kurosawa"," 三船敏郎 Toshirô Mifune / 京町子 ...","1950"," 日本 "," 剧情 犯罪 悬疑",8.8,296597,"人生的N种可能性。"
"青蛇 / Green Snake","徐克 Hark Tsui"," 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...","1993"," 中国香港 中国大陆 "," 剧情 爱情 奇幻 古装",8.6,495879,"人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。"
