"名称","导演","主演","时间","地区","类型","评分","评分人数","简评"
"大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒 / 齐天大圣东游记","刘镇伟 Jeffrey Lau"," 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...","1995"," 中国香港 中国大陆 "," 喜剧 爱情 奇幻 古装",9,1161214,"旷古烁今。"
"钢琴家 / The Pianist / 钢琴战曲(港) / 战地琴人(台)","罗曼·波兰斯基 Roman Polanski"," 艾德里安·布洛迪 Adrien Brod...","2002"," 英国 法国 波兰 德国 "," 剧情 传记 战争 音乐",9.3,587565,"音乐能化解仇恨。"
"天空之城 / 天空の城ラピュタ / 天空之城拉普他 / 空中城堡拉普他","宫崎骏 Hayao Miyazaki"," 田中真弓 Mayumi Tanaka / 横泽启子 Ke...","1986"," 日本 "," 动画 奇幻 冒险",9.2,778567,"对天空的追逐，永不停止。"
"海蒂和爷爷 / Heidi / 飘零燕(港) / 海蒂","阿兰·葛斯彭纳 Alain Gsponer"," 阿努克·斯特芬 Anuk Steffen /...","2015"," 德国 瑞士 "," 剧情 冒险 家庭",9.3,543321,"如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。"
"指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋 / 指环王II：双塔","彼得·杰克逊 Peter Jackson"," 伊利亚·伍德 Elijah Wood / 西恩...","2002"," 美国 新西兰 "," 剧情 动作 奇幻 冒险",9.2,711163,"承前启后的史诗篇章。"
"闻香识女人 / Scent of a Woman / 女人香 / 女人的芳香","马丁·布莱斯 Martin Brest"," 阿尔·帕西诺 Al Pacino / 克里斯...","1992"," 美国 "," 剧情",9.1,830956,"史上最美的探戈。"
"天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港) / 新天堂乐园(台)","朱塞佩·托纳多雷 Giuseppe Tornatore"," 菲利普·努瓦雷 Philipp...","1988"," 意大利 法国 "," 剧情 爱情",9.2,650638,"那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。"
"罗马假日 / Roman Holiday / 金枝玉叶(港) / 罗马假期(台)","威廉·惠勒 William Wyler"," 奥黛丽·赫本 Audrey Hepburn / 格...","1953"," 美国 "," 喜剧 剧情 爱情",9.1,906936,"爱情哪怕只有一天。"
"大闹天宫 / 大闹天宫 上下集 / The Monkey King","万籁鸣 Laiming Wan"," 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...","1961"," 1964(中国大陆) / 1978(中国大陆) / 中国大陆 "," 剧情 动画 奇幻 古装",9.4,407446,"经典之作，历久弥新。"
"指环王1：护戒使者 / The Lord of the Rings: The Fellowship of the Ring / 指环王1：魔戒再现 / 指环王I：护戒使者","彼得·杰克逊 Peter Jackson"," 伊利亚·伍德 Elijah Wood / 西恩...","2001"," 新西兰 美国 "," 剧情 动作 奇幻 冒险",9.1,802061,"传说的开始。"
"黑客帝国 / The Matrix / 22世纪杀人网络(港) / 廿二世纪杀人网络(港)","安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski",NA,"1999"," 美国 "," 动作 科幻",9.1,796153,"视觉革命。"
"死亡诗社 / Dead Poets Society / 暴雨骄阳(港) / 春风化雨(台)","彼得·威尔 Peter Weir"," 罗宾·威廉姆斯 Robin Williams / 罗伯...","1989"," 美国 "," 剧情",9.2,673861,"当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。"
"绿皮书 / Green Book / 绿簿旅友(港) / 幸福绿皮书(台)","彼得·法雷里 Peter Farrelly"," 维果·莫腾森 Viggo Mortensen /...","2018"," 美国 中国大陆 "," 剧情 喜剧 传记 音乐",8.9,1543604,"去除成见，需要勇气。"
"教父2 / The Godfather: Part II / 教父续集(港) / 教父II","弗朗西斯·福特·科波拉 Francis Ford Coppola"," 阿尔·帕西诺 A...","1974"," 美国 "," 剧情 犯罪",9.3,517619,"优雅的孤独。"
"狮子王 / The Lion King / 狮子王3D","Roger Allers / 罗伯·明可夫 Rob Minkoff"," 乔纳森·泰勒·托马...","1994"," 美国 "," 动画 冒险 歌舞",9.1,791484,"动物版《哈姆雷特》。"
"辩护人 / 변호인 / 逆权大状(港) / 正义辩护人(台)","杨宇硕 Woo-seok Yang"," 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...","2013"," 韩国 "," 剧情",9.2,562577,"电影的现实意义大过电影本身。"
"搏击俱乐部 / Fight Club / 搏击会(港) / 斗阵俱乐部(台)","大卫·芬奇 David Fincher"," 爱德华·诺顿 Edward Norton / 布拉...","1999"," 美国 德国 意大利 "," 剧情 动作 悬疑 惊悚",9,805495,"邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。"
"饮食男女 / 飲食男女 / Eat Drink Man Woman","李安 Ang Lee"," 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...","1994"," 中国台湾 美国 "," 剧情 家庭",9.2,582307,"人生不能像做菜，把所有的料都准备好了才下锅。"
"美丽心灵 / A Beautiful Mind / 有你终生美丽(港) / 美丽境界(台)","朗·霍华德 Ron Howard"," 罗素·克劳 Russell Crowe / 艾德·哈...","2001"," 美国 "," 传记 剧情",9.1,729904,"爱是一切逻辑和原由。"
"本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港) / 班杰明的奇幻旅程(台)","大卫·芬奇 David Fincher"," 凯特·布兰切特 Cate Blanchett / ...","2008"," 美国 "," 剧情 爱情 奇幻",9,935206,"在时间之河里感受溺水之苦。"
"穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩 / 穿条纹衣的男孩","马克·赫尔曼 Mark Herman"," 阿萨·巴特菲尔德 Asa Butterfield ...","2008"," 英国 美国 "," 剧情 战争",9.2,525485,"尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。"
"窃听风暴 / Das Leben der Anderen / 窃听者(港) / 他人的生活",NA,NA,"2006"," 德国 "," 剧情 悬疑",9.2,535679,"别样人生。"
"情书 / Love Letter / When I Close My Eyes / Letters of Love","岩井俊二 Shunji Iwai"," 中山美穗 Miho Nakayama / 丰川悦司 Ets...","1995"," 日本 "," 剧情 爱情",8.9,1037773,"暗恋的极致。"
"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港) / 两根枪管(台)","Guy Ritchie"," Jason Flemyng / Dexter Fletcher / Nick Moran","1998"," 英国 "," 剧情 喜剧 犯罪",9.1,567586,"4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。"
"西西里的美丽传说 / Malèna / 真爱伴我行(台) / 玛莲娜","朱塞佩·托纳多雷 Giuseppe Tornatore"," 莫妮卡·贝鲁奇 Monica ...","2000"," 意大利 美国 "," 剧情 战争 情色",8.9,926235,"美丽无罪。"
"音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港) / 真善美(台)","罗伯特·怀斯 Robert Wise"," 朱莉·安德鲁斯 Julie Andrews / 克...","1965"," 美国 "," 剧情 传记 爱情 歌舞",9.1,568687,"用音乐化解仇恨，让歌声串起美好。"
"看不见的客人 / Contratiempo / 死无对证(港) / 布局(台)","奥里奥尔·保罗 Oriol Paulo"," 马里奥·卡萨斯 Mario Casas / 阿...","2016"," 西班牙 "," 剧情 犯罪 悬疑 惊悚",8.8,1185411,"你以为你以为的就是你以为的。"
"拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港) / 抢救雷恩大兵(台)","史蒂文·斯皮尔伯格 Steven Spielberg"," 汤姆·汉克斯 Tom Hanks...","1998"," 美国 "," 剧情 战争",9.1,614258,"美利坚精神输出大片No1."
"飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝(台) / 飞越喜鹊巢","米洛斯·福尔曼 Miloš Forman"," 杰克·尼科尔森 Jack Nichols...","1975"," 美国 "," 剧情",9.1,524315,"自由万岁。"
"小鞋子 / بچه های آسمان / 天堂的孩子 / 小童鞋","马基德·马基迪 Majid Majidi"," 默罕默德·阿米尔·纳吉 Mohamma...","1997"," 伊朗 "," 剧情 儿童 家庭",9.2,387822,"奔跑的孩子是天使。"
"阿凡达 / Avatar / 天神下凡(港) / 化身","詹姆斯·卡梅隆 James Cameron"," 萨姆·沃辛顿 Sam Worthington ...","2009"," 美国 "," 动作 科幻 冒险",8.8,1311837,"绝对意义上的美轮美奂。"
"哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2 / 哈利波特7：死神的圣物2(港 / 台)","大卫·叶茨 David Yates"," 丹尼尔·雷德克里夫 Daniel Radcliffe...","2011"," 美国 英国 "," 奇幻 冒险",9,778204,"10年的完美句点。"
"沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊","乔纳森·戴米 Jonathan Demme"," 朱迪·福斯特 Jodie Foster / 安...","1991"," 美国 "," 剧情 犯罪 惊悚",8.9,836386,"安东尼·霍普金斯的顶级表演。"
"致命魔术 / The Prestige / 死亡魔法(港) / 顶尖对决(台)","克里斯托弗·诺兰 Christopher Nolan"," 休·杰克曼 Hugh Jackman...","2006"," 英国 美国 "," 剧情 悬疑 惊悚",8.9,814266,"孪生蝙蝠侠大战克隆金刚狼。"
"禁闭岛 / Shutter Island / 不赦岛(港) / 隔离岛(台)","Martin Scorsese"," 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...","2010"," 美国 "," 剧情 悬疑 惊悚",8.9,918131,"昔日翩翩少年，今日大腹便便。"
"布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港) / 欢迎来到布达佩斯大饭店(台)","韦斯·安德森 Wes Anderson"," 拉尔夫·费因斯 Ralph Fiennes / ...","2014"," 美国 德国 英国 "," 剧情 喜剧 冒险",8.9,871736,"小清新的故事里注入了大历史的情怀。"
"蝴蝶效应 / The Butterfly Effect / 蝴蝶效应","埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber",NA,"2004"," 美国 加拿大 "," 剧情 悬疑 科幻 惊悚",8.9,887710,"人的命运被自己瞬间的抉择改变。"
"海豚湾 / The Cove / 血色海湾(台) / 海湾","路易·西霍尤斯 Louie Psihoyos"," Richard O'Barry / 路易·西霍...","2009"," 美国 "," 纪录片",9.3,345271,"海豚的微笑，是世界上最高明的伪装。"
"美国往事 / Once Upon a Time in America / 四海兄弟(台) / 义薄云天(港)","赛尔乔·莱翁内 Sergio Leone"," 罗伯特·德尼罗 Robert De Niro ...","1984"," 美国 意大利 "," 犯罪 剧情",9.2,391516,"往事如烟，无处祭奠。"
"心灵捕手 / Good Will Hunting / 骄阳似我(港) / 心灵捕手","格斯·范·桑特 Gus Van Sant"," 马特·达蒙 Matt Damon / 罗宾·...","1997"," 美国 "," 剧情",8.9,671148,"人生中应该拥有这样的一段豁然开朗。"
"低俗小说 / Pulp Fiction / 危险人物(港) / 黑色追缉令(台)","昆汀·塔伦蒂诺 Quentin Tarantino"," 约翰·特拉沃尔塔 John Tra...","1994"," 美国 "," 剧情 喜剧 犯罪",8.9,788738,"故事的高级讲法。"
"春光乍泄 / 春光乍洩 / 一起快乐 / Happy Together","王家卫 Kar Wai Wong"," 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...","1997"," 中国香港 日本 韩国 "," 剧情 爱情 同性",9,596795,"爱情纠缠，男女一致。"
"摩登时代 / Modern Times / The Masses / Les Temps modernes","查理·卓别林 Charles Chaplin"," 查理·卓别林 Charles Chaplin ...","1936"," 美国 "," 剧情 喜剧 爱情",9.3,282702,"大时代中的人生，小人物的悲喜。"
"功夫 / 功夫3D / Kung Fu Hustle","周星驰 Stephen Chow"," 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...","2004"," 中国大陆 中国香港 "," 动作 喜剧 犯罪 奇幻",8.8,1041388,"警恶惩奸，维护世界和平这个任务就交给你了，好吗？"
"喜剧之王 / 喜劇之王 / King of Comedy","周星驰 Stephen Chow / 李力持 Lik-Chi Lee"," 周星驰 Stephen Ch...","1999"," 中国香港 "," 喜剧 剧情 爱情",8.8,916373,"我是一个演员。"
"哈利·波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of Azkaban / 哈利波特3：阿兹卡班的逃犯(港 / 台)","Alfonso Cuarón"," 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...","2004"," 英国 美国 "," 奇幻 冒险",8.9,670433,"不一样的导演，不一样的哈利·波特。"
"七宗罪 / Se7en / 火线追缉令(台) / 7宗罪","大卫·芬奇 David Fincher"," 摩根·弗里曼 Morgan Freeman / 布...","1995"," 美国 "," 剧情 犯罪 悬疑 惊悚",8.8,902191,"警察抓小偷，老鼠玩死猫。"
"超脱 / Detachment / 人间师格(台)","托尼·凯耶 Tony Kaye"," 艾德里安·布洛迪 Adrien Brody / 马西...","2011"," 美国 "," 剧情",9,541979,"穷尽一生，我们要学会的，不过是彼此拥抱。"
"致命ID / Identity / 杀人游戏 / 致命身份","詹姆斯·曼高德 James Mangold"," 约翰·库萨克 John Cusack / 雷...","2003"," 美国 "," 剧情 悬疑 惊悚",8.8,773869,"最不可能的那个人永远是最可能的。"
